"Year (time)","Geographic Area Name (NAME)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Meaning of Type of Government (GOVTYPE_LABEL)","Meaning of Category (CATEGORY_LABEL)","Item Code (ITEM_CODE)","Meaning of Item Code (ITEM_CODE_LABEL)","Amount ($1,000) (AMOUNT)"
"2019","Utah","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","143,693"
"2020","Utah","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","178,234"
"2021","Utah","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","168,890"
"2022","Utah","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","194,855"
"2023","Utah","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","229,327"
"2024","Utah","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","259,286"
"2012","Vermont","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","74,524"
"2013","Vermont","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","71,749"
"2014","Vermont","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","81,090"
"2015","Vermont","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","85,922"
"2016","Vermont","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","73,795"
"2017","Vermont","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","75,466"
"2018","Vermont","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","77,719"
"2019","Vermont","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","83,486"
"2020","Vermont","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","96,752"
"2021","Vermont","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","161,172"
"2022","Vermont","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","90,316"
"2023","Vermont","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","99,654"
"2024","Vermont","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","108,610"
"2012","Virginia","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","292,741"
"2013","Virginia","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","306,701"
"2014","Virginia","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","318,508"
"2015","Virginia","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","352,654"
"2016","Virginia","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","362,840"
"2017","Virginia","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","381,036"
"2018","Virginia","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","405,200"
"2019","Virginia","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","422,123"
"2020","Virginia","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","459,770"
"2021","Virginia","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","515,677"
"2022","Virginia","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","552,473"
"2023","Virginia","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","640,116"
"2024","Virginia","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","675,395"
"2012","Washington","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","224,870"
"2013","Washington","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","234,413"
"2014","Washington","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","231,997"
"2015","Washington","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","247,777"
"2016","Washington","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","263,268"
"2017","Washington","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","267,123"
"2018","Washington","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","294,826"
"2019","Washington","SF0342","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","State","Expenditure","E62","Current Operations - Police Protection","299,944"
