"","year","state_abbr","state_name","population","violent_crime","property_crime","tot_crime"
"423",1987,"CO","Colorado",3296000,15409,197225,212634
"424",1987,"CT","Connecticut",3211000,13455,146958,160413
"425",1987,"DC","District of Columbia",622000,10016,42553,52569
"426",1987,"DE","Delaware",644000,2774,29032,31806
"427",1987,"FL","Florida",12023000,123168,899167,1022335
"428",1987,"GA","Georgia",6222000,35868,324511,360379
"429",1987,"HI","Hawaii",1083000,2851,60157,63008
"430",1987,"IA","Iowa",2834000,6553,110781,117334
"431",1987,"ID","Idaho",998000,2138,39342,41480
"432",1987,"IL","Illinois",11582000,92216,535126,627342
"433",1987,"IN","Indiana",5531000,18169,209695,227864
"434",1987,"KS","Kansas",2476000,8932,112488,121420
"435",1987,"KY","Kentucky",3727000,12589,109284,121873
"436",1987,"LA","Louisiana",4461000,30916,231090,262006
"437",1987,"MA","Massachusetts",5855000,33060,244105,277165
"438",1987,"MD","Maryland",4535000,34820,213589,248409
"439",1987,"ME","Maine",1187000,1806,40122,41928
"440",1987,"MI","Michigan",9200000,71772,522254,594026
"441",1987,"MN","Minnesota",4246000,12118,183868,195986
"442",1987,"MO","Missouri",5103000,27792,212430,240222
"443",1987,"MS","Mississippi",2625000,7081,83182,90263
"444",1987,"MT","Montana",809000,1223,35986,37209
"445",1987,"NC","North Carolina",6413000,31039,267157,298196
"446",1987,"ND","North Dakota",672000,382,18656,19038
"447",1987,"NE","Nebraska",1594000,4004,61853,65857
"448",1987,"NH","New Hampshire",1057000,1581,34058,35639
"449",1987,"NJ","New Jersey",7672000,41507,362155,403662
"450",1987,"NM","New Mexico",1500000,9427,88775,98202
"451",1987,"NV","Nevada",1007000,7006,57154,64160
"452",1987,"NY","New York",17825000,179691,881330,1061021
"453",1987,"OH","Ohio",10784000,45436,447964,493400
"454",1987,"OK","Oklahoma",3272000,13664,183495,197159
"455",1987,"OR","Oregon",2724000,14697,175138,189835
"456",1987,"PA","Pennsylvania",11936000,44087,333476,377563
"457",1987,"RI","Rhode Island",986000,3547,48568,52115
"458",1987,"SC","South Carolina",3425000,22773,154021,176794
"459",1987,"SD","South Dakota",709000,849,18138,18987
"460",1987,"TN","Tennessee",4855000,25900,200616,226516
"461",1987,"TX","Texas",16789000,105961,1190558,1296519
"462",1987,"UT","Utah",1680000,3861,90532,94393
"463",1987,"VA","Virginia",5904000,17414,216354,233768
"464",1987,"VT","Vermont",548000,748,22658,23406
"465",1987,"WA","Washington",4538000,19945,298491,318436
"466",1987,"WI","Wisconsin",4807000,12014,188411,200425
"467",1987,"WV","West Virginia",1897000,2605,38953,41558
"468",1987,"WY","Wyoming",490000,1387,18366,19753
"469",1988,"US","National",244498982,1566221,12356865,13923086
"470",1988,"AK","Alaska",513000,2682,22566,25248
"471",1988,"AL","Alabama",4127000,23052,165209,188261
"472",1988,"AR","Arkansas",2422000,10237,91962,102199
"473",1988,"AZ","Arizona",3466000,21147,237808,258955
"474",1988,"CA","California",28168000,261912,1607180,1869092
"475",1988,"CO","Colorado",3290000,15548,187719,203267
"476",1988,"CT","Connecticut",3241000,14759,150455,165214
"477",1988,"DC","District of Columbia",620000,11914,49557,61471
"478",1988,"DE","Delaware",660000,2981,28693,31674
"479",1988,"FL","Florida",12377000,138343,967869,1106212
"480",1988,"GA","Georgia",6401000,42589,362376,404965
"481",1988,"HI","Hawaii",1093000,2810,62650,65460
"482",1988,"IA","Iowa",2834000,7279,108254,115533
"483",1988,"ID","Idaho",999000,2345,37345,39690
"484",1988,"IL","Illinois",11544000,93557,555316,648873
"485",1988,"IN","Indiana",5575000,21187,210177,231364
"486",1988,"KS","Kansas",2487000,9083,112280,121363
"487",1988,"KY","Kentucky",3721000,12284,104362,116646
